,Scientific,English,ISSCAAP,TL,seTL
465,Genyonemus lineatus,White croaker,33,3.4,0.06
466,Genypterus blacodes,Pink cusk-eel,33,3.4,0.06
467,Genypterus capensis,Kingklip,33,3.4,0.06
468,Genypterus chilensis,Red cusk-eel,33,3.4,0.06
469,Genypterus maculatus,Black cusk-eel,33,3.4,0.06
470,Genypterus spp,Cusk-eels nei,33,3.4,0.06
471,Gerres spp,Mojarras(=Silver-biddies),33,3.3,0.27
472,Geryon (=Chaceon) maritae,West African geryon,42,2.6,0.3
473,Geryon quinquedens,Red crab,42,2.6,0.3
474,Geryon spp,Geryons nei,42,2.6,0.3
475,Geryonidae,"Deepsea crabs, geryons",42,2.6,0.3
476,Gigartina spp,Gigartina,92,1,0
477,Globicephala macrorhynchus,Short-finned pilot whale,62,4.3,0.3
478,Globicephala melas,Long-finned pilot whale,62,4.4,0.22
479,Glossanodon semifasciatus,Deepsea smelt,33,2.4,0.25
480,Glyptocephalus cynoglossus,Witch flounder,31,3.5,0.26
481,Gnathanodon speciosus,Golden trevally,34,3.3,0.28
482,Gobiidae,Gobies nei,33,3.2,0.63
483,Gobiidae,Freshwater gobies,13,2.9,0.89
484,Gobius niger,Black goby,33,3.5,0.26
485,Gobius ophiocephalus,Snakehead goby,33,3.5,0.26
486,Gobius spp,Atlantic gobies,33,3.5,0.26
487,Gonostomatidae,"Bristlemouths, nei",33,3.4,0.06
488,Grammatorcynus bicarinatus,Shark mackerel,36,4,0.12
489,Grammatorcynus bilineatus,Double-lined mackerel,36,4,0.12
490,Grampus griseus,Risso's dolphin,62,4.3,0.37
491,Gymnocranius spp,Largeeye breams,33,3.4,0.06
492,Gymnosarda unicolor,Dogtooth tuna,36,4,0.12
493,Gymnura spp,Butterfly rays,38,3.5,0.52
494,Haemulidae (=Pomadasyidae),"Grunts, sweetlips, nei",33,3.5,0.26
495,Halichoerus grypus,Gray seal,63,4,0.46
496,"Haliotidae, Turbinidae","Abalones, winkles etc. nei",52,2.1,0.13
497,Haliotis gigantea,Giant abalone,52,2.1,0.13
498,Haliotis midae,Perlemoen abalone,52,2.1,0.13
499,Haliotis rubra,Blacklip abalone,52,2.1,0.13
500,Haliotis spp,Abalones nei,52,2.1,0.13
501,Haliotis tubercolata,European abalone,52,2.1,0.13
502,Haliporoides sibogae,Jack-knife shrimp,45,2.2,0.23
503,Haliporoides spp,Knife shrimps,45,2.2,0.23
504,Haliporoides triarthrus,Knife shrimp,45,2.2,0.23
505,Haplochromis spp,Mouthbrooding cichlids,12,2.5,0.18
506,Harengula spp,Scaled sardines,35,3.5,0.53
507,Harpadon nehereus,Bombay-duck,33,3.5,0.26
508,Helicolenus dactylopterus,Blackbelly rosefish,33,3.5,0.26
509,Helicolenus spp,"Rosefishes, nei",33,3.5,0.26
510,Helostoma temmincki,Kissing gourami,13,3.1,0.28
511,Hemiramphus brasiliensis,Ballyhoo halfbeak,34,3.8,0.13
512,Hemirhamphus balao,Balao halfbeak,34,3.8,0.13
513,Hemirhamphus spp,Halfbeaks nei,34,3.1,0.25
514,Herklotsichthys quadrimaculat.,Bluestripe herring,35,2.8,0.27
515,Heterocarpus reedi,Chilean nylon shrimp,45,2.3,0.24
516,Heterotis spp,Heterotis spp,13,3.1,0.28
517,Hexanchus griseus,Bluntnose sixgill shark,38,3.8,0.59
518,Hilsa kelee,Kelee shad,24,2.1,0.35
519,Hippoglossoides elassodon,Flathead sole,31,3.5,0.26
520,Hippoglossoides platessoides,Amer. plaice(=Long rough dab),31,3.5,0.26
521,Hippoglossus hippoglossus,Atlantic halibut,31,3.5,0.26
522,Hippoglossus stenolepis,Pacific halibut,31,3.5,0.26
523,Hipposus hipposus,Bear pow clam,56,2.1,0.13
524,Hirundichthys affinis,Fourwing flyingfish,34,3.1,0.25
525,Holocephali,Chimaeras nei,38,3.6,0.24
526,Holothurioidea,Sea cucumbers nei,76,2.3,0.61
527,Homarus americanus,American lobster,43,2.6,0.3
528,Homarus gammarus,European lobster,43,2.6,0.3
529,Hoplosternum littorale,Hassar,13,3.1,0.28
530,Hoplostethus atlanticus,Orange roughy,33,3.5,0.26
531,Hydrolagus colliei,Spotted ratfish,38,3.6,0.24
532,Hyperoglyphe antarctica,Bluenose warehou,33,3.5,0.26
533,Hyperoodon ampullatus,Northern bottlenose whale,62,4.2,0.49
534,Hypomesus olidus,Pond smelt,23,2.4,0.25
535,Hypomesus pretiosus,Surf smelt,23,2.4,0.25
536,Hypophthalmichthys molitrix,Silver carp,11,2.5,0.65
537,Hypoptychus dybowskii,Korean sandeel,33,3.4,0.06
538,Hyporhamphus sajori,Japanese halfbeak,34,3.8,0.13
539,Ictalurus catus,White catfish,13,3.1,0.28
540,Ictalurus furcatus,Blue catfish,13,3.1,0.28
541,Ictalurus melas,Black bullhead,13,2.6,0.77
542,Ictalurus natalis,Yellow bullhead,13,3.1,0.28
543,Ictalurus nebulosus,Brown bullhead,13,3.1,0.28
544,Ictalurus punctatus,Channel catfish,13,3.1,0.28
545,Ictalurus spp,"Catfishes, nei",13,2.6,0.77
546,Ictiobus spp,Buffalofishes,13,3.1,0.28
547,Ilisha africana,West African ilisha,24,2.8,0.27
548,Ilisha elongata,Elongate ilisha,24,2.8,0.27
549,Ilisha hoeveni,Big eye ilisha,24,2.8,0.27
550,Illex argentinus,Argentine shortfin squid,57,3.2,0.14
551,Illex coindetii,Broadtail shortfin squid,57,3.2,0.14
552,Illex illecebrosus,Northern shortfin squid,57,3.2,0.14
553,Invertebrata,Aquatic invertebrates nei,77,2.3,0.61
554,Isacia conceptionis,Cabinza grunt,33,3.5,0.26
555,Istiophoridae,"Marlins,sailfishes,spearfishes",36,4.2,0.31
556,Istiophorus albicans,Atlantic sailfish,36,4.2,0.04
557,Istiophorus platypterus,Indo-Pacific sailfish,36,4.2,0.04
558,Isurus oxyrinchus,Shortfin mako,38,3.8,0.59
559,Isurus paucus,Longfin mako,38,3.8,0.59
560,Jacquinotia edwardsii,Southern spider crab,42,2.3,0.24
561,Jasus edwardsii,Red rock lobster,43,2.6,0.33
562,Jasus frontalis,Juan Fernandez rock lobster,43,2.6,0.33
563,Jasus lalandii,Cape rock lobster,43,2.6,0.33
564,Jasus tristani,Tristan da Cunha rock lobster,43,2.6,0.33
565,Jasus verreauxi,Green rock lobster,43,2.6,0.33
566,Joturus pichardi,Bobo mullet,34,2.8,0.6
567,Kathetostoma giganteum,Stargazer,33,3.5,0.26
568,Katsuwonus pelamis,Skipjack tuna,36,3.7,0.57
569,Kryptopterus spp,Glass catfishes,13,3.1,0.28
570,Labeo calbasu,Orangefin labeo,11,2.7,0.34
571,Labeo rohita,Roho labeo,11,2.7,0.34
572,Labeo spp,Rhinofishes,11,2.7,0.34
573,Labridae,"Wrasses, hogfishes, etc",33,3.6,0.4
574,Lactarius lactarius,False trevally,33,3.5,0.26
575,Laminaria japonica,Kelp,91,1,0
576,Laminariales,Kelps,91,1,0
577,Lamna nasus,Porbeagle,38,3.8,0.59
578,Lamnidae,"Mackerel sharks, porbeagles",38,3.8,0.59
579,Lampanyctodes hectoris,Lanternfish,34,3.4,0.48
580,Lampetra fluviatilis,River lamprey,13,3.1,0.28
581,Larimichthys croceus,Large yellow croaker,33,3.4,0.06
582,Larimichthys polyactis,Yellow croaker,33,3.4,0.06
583,Lateolabrax japonicus,Japanese seabass,33,3.5,0.26
584,Lates calcarifer,Barramundi(=Giant seaperch),25,3.6,0.27
585,Lates niloticus,Nile perch,25,3.6,0.6
586,"Lates spp, Luciolates spp",Freshwater perches nei,25,3.9,0.68
587,Latridae,Trumpeters,33,3.5,0.26
588,Latridopsis ciliaris,Blue moki,33,3.5,0.26
589,Leiognathidae,Ponyfishes(=Slipmouths)nei,33,3.5,0.44
590,Leiognathus spp,Ponyfishes(=Slipmouths),33,3.5,0.44
591,Leiostomus xanthurus,Spot croaker,33,3.4,0.06
592,Leocarcinus puber,Velvet swimcrab,42,2.6,0.3
593,Lepas spp,Goose barnacles,47,2.6,0.3
594,Lepidopsetta bilineata,Rock sole,31,3.5,0.26
595,Lepidopus caudatus,Silver scabbardfish,37,3.4,0.29
596,Lepidorhombus boscii,Four-spot megrim,31,3.5,0.26
597,Lepidorhombus spp.,Megrims nei,31,3.5,0.26
598,Lepidorhombus whiffiagonis,Megrim,31,3.5,0.26
599,Lepidotrigla dieuzeidei,Spiny gurnard,33,3.5,0.26
600,Leptobarbus hoeveni,Hoven's carp,11,2.7,0.34
601,Lethrinidae,Emperors(=Scavengers),33,3.4,0.06
602,Leuciscus idus,Orfe(=Ide),11,2.7,0.34
603,Lichia amia,Leerfish,34,3.3,0.28
604,Lichia spp,Leerfishes,34,3.3,0.28
605,Limanda aspera,Yellowfin sole,31,3.5,0.26
606,Limanda ferruginea,Yellowtail flounder,31,3.5,0.26
607,Limanda limanda,Common dab,31,2.8,0.4
608,Limnothrissa miodon,Lake Tanganyika sardine,24,3.2,0.45
609,Limulus polyphemus,Horseshoe crab,75,2.3,0.61
610,Lithodes antarcticus,Southern king crab,42,2.3,0.24
611,Lithodes ferox,King crab,42,2.3,0.24
612,Lithodes maia,Stone king crab,42,2.3,0.24
613,Lithodes murrayi,Subantarctic stone crab,42,2.3,0.24
614,Lithodes spp,King crabs,42,2.3,0.24
615,Lithodidae,"King crabs, nei",42,2.3,0.24
616,Lithognathus lithognathus,White steenbras,33,3.4,0.06
617,Lithognathus mormyrus,Sand steenbras,33,3.4,0.06
618,Lithognathus spp,"Steenbrasses, nei",33,3.4,0.06
619,Lithothamnion spp,Lithothamnion,92,1,0
620,Littorina littorea,Periwinkle,52,2.1,0.13
621,Littorina spp,Periwinkles nei,52,2.1,0.13
622,Liza aurata,Golden grey mullet,34,2.4,0.67
623,Liza haematochila,So-iny mullet,34,2.4,0.67
624,Liza ramada,Thinlip grey mullet,34,2.4,0.67
625,Lobodon carcinophagus,Crabeater seal,63,3.3,0.16
626,Loliginidae,Inshore squids nei,57,3.2,0.14
627,"Loliginidae, Ommastrephidae",Squids nei,57,3.2,0.14
628,Loligo gahi,Patagonian squid,57,3.2,0.14
629,Loligo pealei,Longfin squid,57,3.3,0.29
630,Loligo reynaudi,Cape Hope squid,57,3.2,0.14
631,Loligo spp,Common squids,57,3.5,0.37
632,Lolliguncula spp,Thumbstall squid,57,3.2,0.14
633,Lophiidae,Anglerfishes nei,33,3.5,0.26
634,Lophius americanus,American angler,33,3.5,0.26
635,Lophius budegassa,Blackbellied angler,33,3.5,0.26
636,Lophius piscatorius,Angler(=Monk),33,3.5,0.26
637,Lophius spp,Monkfishes nei,33,3.5,0.26
638,Lophius upsicephalus,Cape monk,33,3.5,0.26
639,Lopholatilus chamaeleonticeps,Tilefish (Great northern),33,3.5,0.26
640,Lota lota,Burbot,13,3.1,0.28
641,Loxechinus albus,Chilean sea urchin,76,2.3,0.61
642,Lutjanidae,"Snappers, jobfishes, nei",33,4.6,0.32
643,Lutjanus argentimaculatus,Mangrove red snapper,33,4,0.33
644,Lutjanus argentiventris,Yellow snapper,33,4.6,0.32
645,Lutjanus campechanus,Northern red snapper,33,4,0.33
646,Lutjanus purpureus,Southern red snapper,33,4,0.33
647,Lutjanus spp,Snappers nei,33,4.6,0.32
648,Lutjanus synagris,Lane snapper,33,4.6,0.32
649,Lycengraulis grossidens,Atlantic sabretooth anchovy,24,2.8,0.27
650,Lycodes spp,Eelpouts,33,3.4,0.06
651,Maccullochella peeli,Murray perch,33,3.5,0.26
652,Macquaria ambigua,Golden perch,33,3.5,0.26
653,Macquaria australasica,Australian bass,33,3.5,0.26
654,Macrobrachium amazonicus,Amazonian river prawn,41,2.2,0.23
655,Macrobrachium rosenbergii,Giant river prawn,41,2.2,0.23
656,Macrobrachium spp,River prawns,41,2.5,0.51
657,Macrodon ancylodon,King weakfish,33,3.4,0.06
658,Macroramphosidae,Snipefishes,33,3.5,0.26
659,Macroramphosus scolopax,Longspine snipefish,33,3.5,0.26
660,Macrourus berglax,Roughhead grenadier,32,3.8,0.25
661,Macrourus spp,Grenadiers,32,3.8,0.25
662,Macrozoarces americanus,Ocean pout,33,3.4,0.06
663,Macruronus magellanicus,Patagonian grenadier,32,3.8,0.25
664,Macruronus novaezelandiae,Blue grenadier,32,3.8,0.25
665,Macruronus spp,Blue grenadiers,32,3.8,0.25
666,Mactra glabrata,Smooth mactra,56,2.1,0.13
667,Mactra sachalinensis,Hen clam,56,2.1,0.13
668,Mactra veneriformis,Globose clam,56,2.1,0.13
669,Mactridae,Mactra surf clams,56,2.1,0.13
670,Maja squinado,Spinous spider crab,42,2.3,0.24
671,Makaira indica,Black marlin,36,4.2,0.31
672,Makaira mazara,Indo-Pacific blue marlin,36,4.2,0.31
673,Makaira nigricans,Atlantic blue marlin,36,4.2,0.31
674,Malaclemys spp,Terrapins,72,2.6,0.68
675,Mallotus villosus,Capelin,34,3.3,0.22
676,Mammalia,Aquatic mammals nei,64,3.5,0.43
677,Martialia hyadesi,Sevenstar flying squid,57,3.2,0.14
678,Maurolicus muelleri,Silvery lightfish,33,3.4,0.06
679,Maurolicus spp,"Lightfishes, nei",33,3.4,0.06
680,Megalaspis cordyla,Torpedo scad,34,3.8,0.39
681,Megalobrama amblycephala,Wuchang bream,11,2.7,0.34
682,Megalops cyprinoides,Indo-Pacific tarpon,35,3,0.15
683,Meganyctiphanes norvegica,Norwegian krill,46,2.2,0.4
684,Megaptera novaeangliae,Humpback whale,61,3.6,0.49
685,Melanogrammus aeglefinus,Haddock,32,3.5,0.47
686,Mene maculata,Moonfish,33,3.4,0.45
687,Menidia menidia,Atlantic silverside,34,2.8,0.71
688,Menippe mercenaria,Black stone crab,42,2.6,0.3
689,Menticirrhus americanus,Southern kingcroaker,33,3.4,0.06
690,Menticirrhus littoralis,Gulf kingcroaker,33,3.4,0.06
691,Menticirrhus saxatilis,Northern kingfish,33,3.4,0.06
692,Menticirrhus spp,Kingcroakers nei,33,3.4,0.06
693,Mercenaria mercenaria,Northern quahog(=Hard clam),56,2.1,0.13
694,Meretrix lusoria,Japanese hard clam,56,2.1,0.13
695,Meretrix spp,Hard clams,56,2.1,0.13
696,Merlangius merlangus,Whiting,32,4,0.48
697,Merlangius merlangus euxinus,Black sea whiting,32,3.8,0.25
698,Merlucciidae,Merluccid hakes,32,3.8,0.25
699,Merluccius albidus,Offshore silver hake,32,3.8,0.25
700,Merluccius australis,Southern hake,32,3.8,0.25
701,Merluccius bilinearis,Silver hake,32,3.8,0.25
702,Merluccius capensis,Shallow-water Cape hake,32,3.4,0.42
703,"Merluccius capensis,M.paradox.",Cape hakes,32,3.4,0.42
704,Merluccius gayi,South Pacific hake,32,3.3,0.34
705,Merluccius hubbsi,Argentine hake,32,3.8,0.25
706,Merluccius merluccius,European hake,32,3.8,0.25
707,Merluccius paradoxus,Deep-water Cape hake,32,3.4,0.42
708,Merluccius polli,Benguela hake,32,3.8,0.25
709,Merluccius polylepis,Patagonian hake,32,3.8,0.25
710,Merluccius productus,North Pacific hake,32,3.8,0.25
711,Merluccius senegalensis,Senegalese hake,32,3.8,0.25
712,Merluccius spp,Hakes nei,32,3.4,0.42
713,Mesodesma donacium,Macha clam,56,2.1,0.13
714,Metanephrops andamanicus,Andaman lobster,43,2.6,0.3
715,Metanephrops challengeri,New Zealand lobster,43,2.6,0.3
716,Metanephrops mozambicus,Mozambique lobster,43,2.6,0.3
717,Metapenaeus brevicornis,Yellow shrimp,45,2.7,0.35
718,Metapenaeus endeavouri,Endeavour shrimp,45,2.7,0.35
719,Metapenaeus joyneri,Shiba shrimp,45,2.7,0.35
720,Metapenaeus macleayi,Eastern school shrimp,45,2.7,0.35
721,Metapenaeus spp,Metapenaeus shrimps nei,45,2.6,0.59
722,Microchirus spp,Thickback soles,31,3.5,0.26
723,Microcosmus sulcatus,Grooved sea squirt,74,3,0.3
724,Microgadus tomcod,Atlantic tomcod,32,3.8,0.25
725,Micromesistius australis,Southern blue whiting,32,3.8,0.25
726,Micromesistius poutassou,Blue whiting(=Poutassou),32,3.8,0.25
727,Micropogonias furnieri,Whitemouth croaker,33,3.3,0.21
728,Micropogonias spp,Croakers nei,33,3.3,0.21
729,Micropogonias undulatus,Atlantic croaker,33,3.3,0.21
730,Micropterus salmoides,Largemouth black bass,33,3.7,0.34
731,Microstomus kitt,Lemon sole,31,3.5,0.26
732,Misgurnus anguillicaudatus,Pond loach,11,2.7,0.34
733,Mitella pollicipes,Barnacle,47,2.6,0.3
734,Mobulidae,Mantas,38,3.5,0.52
735,Modiolus spp,Horse mussels,54,2.1,0.22
736,Mola mola,Ocean sunfish,33,3.5,0.26
737,Mollusca,Marine molluscs nei,58,2.1,0.13
738,Mollusca,Freshwater molluscs nei,51,2.2,0.23
739,Molva dypterygia,Blue ling,32,3.8,0.25
740,Molva macrophthalma,Spanish ling,32,3.8,0.25
741,Molva molva,Ling,32,3.8,0.25
742,Molva spp,Lings nei,32,3.8,0.25
743,Monodon monoceros,Narwhal,62,4.2,0.46
744,Monostroma nitidum,Green laver,93,1,0
745,Moridae,Moras,32,3.8,0.25
746,Morone americana,White perch,33,3.5,0.26
747,Morone saxatilis,Striped bass,33,3.5,0.26
748,Mugil capurrii,Leaping African mullet,34,2.8,0.6
749,Mugil cephalus,Flathead grey mullet,34,2.1,0.24
750,Mugil incilis,Parassi mullet,34,2.8,0.6
751,Mugil liza,Lebranche mullet,34,2.8,0.6
752,Mugilidae,Mullets nei,34,2,0
753,Mulinia spp,Mulinia spp,56,2.1,0.13
754,Mullidae,"Goatfishes, red mullets nei",33,3.2,0.46
755,Mullus barbatus,Striped mullet,33,3.5,0.26
756,Mullus spp,Surmullets(=Red mullets),33,3.5,0.26
757,Mullus surmuletus,Red mullet,33,3.5,0.26
758,Muraenesox cinereus,Daggertooth pike conger,33,3.4,0.06
759,Muraenesox spp,Pike-congers nei,33,3.4,0.06
760,Muraenidae,Morays,33,3.5,0.4
761,Muraenolepis spp.,Moray code,32,3.8,0.25
762,Murex spp,Murex,56,2.1,0.13
763,Mustelus asterias,Starry smoothhound,38,3.8,0.53
764,Mustelus mustelus,Smoothhound,38,3.8,0.53
765,Mustelus schmitti,Narrownose smooth-hound,38,3.8,0.53
766,Mustelus spp,Smoothhounds,38,3.8,0.53
767,Mya arenaria,Soft shell(=Soft clam),56,2.1,0.13
768,Mycteroperca spp,Brazilian groupers,33,3.9,0.35
769,Mycteroperca xenarcha,Broomtail grouper,33,3.9,0.35
770,Myctophidae,Lanternfishes,34,3.4,0.48
771,Myliobatidae,Eagle rays,38,3.5,0.52
772,Mylopharyngodon piceus,Black carp,11,2.7,0.34
773,Myoxocephalus spp,Sculpins,33,3.5,0.26
774,Mystacoceti,Baleen whales nei,61,3.4,0.95
775,Mytilidae,Sea mussels nei,54,2.1,0.22
776,Mytilus canaliculus,New Zealand mussel,54,2.1,0.22
777,Mytilus chilensis,Chilean mussel,54,2.1,0.22
778,Mytilus crassitesta,Korean mussel,54,2.1,0.22
779,Mytilus edulis,Blue mussel,54,2.1,0.22
780,Mytilus galloprovincialis,Mediterranean mussel,54,2.1,0.22
781,Mytilus planulatus,Australian mussel,54,2.1,0.22
782,Mytilus platensis,River Plata mussel,54,2.1,0.22
783,Mytilus smaragdinus,Green mussel,54,2.1,0.22
784,Mytilus viridis,Brown mussel,54,2.1,0.22
785,Natantia,Inshore shrimps nei,45,2.2,0.23
786,Natantia,Natantian decapods nei,45,2.2,0.23
787,Natantia,Offshore shrimps nei,45,2.2,0.23
788,Nemadactylus spp,Morwongs,33,3.5,0.26
789,Nemipteridae,"Threadfin,monocle,dwarf breams",33,3.4,0.45
790,Nemipterus spp,Threadfin breams,33,3.4,0.45
791,Nemipterus virgatus,Golden threadfin bream,33,3.4,0.45
792,Nephropidae,"True lobsters, lobsterettes",43,2.6,0.3
793,Nephrops norvegicus,Norway lobster,43,2.6,0.3
794,Nephropsis stewarti,Indian Ocean lobsterette,43,2.6,0.3
795,Nibea albiflora,Yellow drum,33,3.4,0.06
796,Nibea mitsukurii,Honnibe croaker,33,3.4,0.06
797,Non-Scleractinia,Other corals,82,2.3,0.61
798,Notemigonus crysoleucas,Golden shiner,11,2.7,0.34
799,Notopterus spp,Knifefishes,13,3.1,0.28
800,Notoscopelus spp,Patchwork lampfishes,34,3.4,0.48
801,Notothenia acuta,Triangular rockcod,33,3.4,0.06
802,Notothenia angustifrons,Narrowhead rockcod,33,3.4,0.06
803,Notothenia coriiceps,Black rockcod,33,3.4,0.06
804,Notothenia gibberifrons,Humped rockcod,33,3.4,0.06
805,Notothenia kempi,Striped-eyed rockcod,33,3.4,0.06
806,Notothenia neglecta,Yellowbelly rockcod,33,3.4,0.06
807,Notothenia rossii,Marbled rockcod,33,3.4,0.06
808,Notothenia squamifrons,Grey rockcod,33,3.4,0.06
809,Nototheniidae,"Antarctic rockcods,noties nei",33,3.4,0.06
810,Nototheniops larseni,Painted notie,33,3.4,0.06
811,Nototheniops mizops,Toad notie,33,3.4,0.06
812,Nototheniops nudifrons,Yellowfin notie,33,3.4,0.06
813,Nototodarus sloani,Wellington flying squid,57,3.2,0.14
814,Oblada melanura,Saddled seabream,33,3.4,0.06
815,Octopodidae,Octopuses,57,3.2,0.14
816,Octopus macropus,White-spotted octopus,57,3.2,0.14
817,Octopus spp,Octopuses,57,4.1,0.34
818,Octopus vulgaris,Common octopus,57,4.1,0.34
819,Ocyurus chrysurus,Yellowtail snapper,33,4.6,0.32
820,Odontoceti,Toothed whales nei,62,4.2,0.34
821,"Ommastrephes, Illex spp",Shortfin and flying squids,57,3.2,0.14
822,Ommastrephidae,Squids,57,3.2,0.14
823,Oncorhynchus gorbuscha,Pink(=Humpback)salmon,23,3.6,0.27
824,Oncorhynchus keta,Chum(=Keta=Dog)salmon,23,3.6,0.27
825,Oncorhynchus kisutch,Coho(=Silver)salmon,23,4,0.15
826,Oncorhynchus masou,Masu(=cherry) salmon,23,3.6,0.27
827,Oncorhynchus mykiss,Rainbow trout,23,4,0.21
828,Oncorhynchus nerka,Sockeye(=Red)salmon,23,3.6,0.27
829,Oncorhynchus spp,"Pacific salmons, nei",23,4,0.15
830,Oncorhynchus tshawytscha,Chinook(=Spring=King)salmon,23,4,0.19
831,Ophidiidae,"Cusk-eels, brotulas, nei",33,3.4,0.06
832,Ophiodon elongatus,Lingcod,33,3.5,0.26
833,Opisthonema libertate,Pacific thread herring,35,2.8,0.27
834,Opisthonema oglinum,Atlantic thread herring,35,2.9,0.69
835,Opisthonema spp,Thread herrings,35,2.9,0.69
836,Orcinus orca,Killer whale,62,4.5,0.43
837,Orcynopsis unicolor,Plain bonito,36,4,0.12
838,Oreochromis (=Tilapia) spp,Tilapias nei,12,2.5,0.18
839,Oreochromis andersonii,Three spotted tilapia,12,2.5,0.18
840,Oreochromis aureus,Blue tilapia,12,2.1,0.23
841,Oreochromis mossambicus,Mozambique tilapia,12,2.1,0.23
842,Oreochromis niloticus,Nile tilapia,12,2.1,0.29
843,Oreosomatidae,Oreo dories,33,3.5,0.26
844,Orthopristis chrysoptera,Pigfish,33,3.1,0.5
845,Osmerus eperlanus,European smelt,23,3.1,0.28
846,Osmerus mordax,Rainbow smelt,23,3.1,0.12
847,"Osmerus spp, Hypomesus spp",Smelts nei,23,2.4,0.25
848,Osphronemus goramy,Giant gourami,13,3.1,0.28
849,Osteichthyes,Marine fishes nei,39,3.5,0.26
850,Osteichthyes,Groundfishes nei,39,2.8,0.41
851,Osteichthyes,Diadromous fishes nei,25,3.5,0.8
852,Osteichthyes,Finfishes nei,39,3.2,0.11
853,Osteichthyes,Freshwater fishes nei,13,3.1,0.28
854,Osteichthyes,Pelagic fishes nei,39,3.2,0.11
855,Osteochilus hasselti,Nilem carp,11,2.7,0.34
856,Ostrea chilensis,Chilean flat oyster,53,2.1,0.13
857,Ostrea denticulata,Denticulate rock oyster,53,2.1,0.13
858,Ostrea edulis,European flat oyster,53,2.1,0.13
859,Ostrea lurida,Olympia flat oyster,53,2.1,0.13
860,Ostrea lutaria,New Zealand dredge oyster,53,2.1,0.13
861,Ostrea spp,Flat oysters nei,53,2.1,0.13
862,Ostreidae,"Flat and cupped oysters, nei",53,2.1,0.13
863,Otaria byronia,South American sea lion,63,4,0.55
864,"Otariidae, Phocidae",Seals nei,63,3.5,0.43
865,Otolithes ruber,Tigertooth croaker,33,3.3,0.68
866,Oxyeleotris marmorata,Marble goby,13,3.1,0.28
867,Oxynotus centrina,Angular rough shark,38,3.6,0.24
868,Pachymetopon aeneum,Blue hottentot,33,3.4,0.06
869,Pachymetopon blochii,Hottentot,33,3.4,0.06
870,Pachymetopon spp,Copper breams (=Hottentots),33,3.4,0.06
871,Pacifastacus leniusculus,Signal crayfish,41,2.2,0.23
872,Pagellus acarne,Axillary seabream,33,3.4,0.06
873,Pagellus bellottii bellottii,Red pandora,33,3.4,0.06
874,Pagellus bellottii natalensis,Natal pandora,33,3.4,0.06
875,Pagellus bogaraveo,Blackspot(=red) seabream,33,3.4,0.06
876,Pagellus erythrinus,Common pandora,33,3.4,0.06
877,Pagellus spp,Pandoras nei,33,3.4,0.06
878,Pagothenia hansoni,Striped rockcod,33,3.4,0.06
879,Pagrus caeruleostictus,Bluespotted seabream,33,3.5,0.26
880,Pagrus major,Silver seabream,33,3.5,0.26
881,Pagrus pagrus,Red porgy,33,3.5,0.26
882,Palaemon serratus,Common prawn,45,2.7,0.35
883,Palaemonidae,Palaemonid shrimps,45,2.2,0.23
884,Palaemonidae,Freshwater prawns and shrimps,41,2.2,0.23
885,Palinuridae,"Spiny lobsters, nei",43,3.2,0.41
886,Palinurus delagoae,Natal spiny lobster,43,2.6,0.33
887,Palinurus elephas,Common spiny lobster,43,2.6,0.33
888,Palinurus gilchristi,Southern spiny lobster,43,2.6,0.33
889,Palinurus mauritanicus,Pink spiny lobster,43,2.6,0.33
890,Palinurus spp,Palinurid spiny lobsters nei,43,3.2,0.41
891,Pampus argenteus,Silver pomfret,34,3.8,0.48
892,Pampus chinensis,Chinese silver pomfret,34,3.8,0.48
893,Pampus spp,"Pomfrets, nei",34,3.8,0.48
894,Pandalidae,Prawns,45,2.3,0.24
895,Pandalus borealis,Northern prawn,45,2.3,0.24
896,Pandalus montagui,Aesop shrimp,45,2.3,0.24
897,Pandalus spp,Pink(=Pandalid)shrimps,45,2.3,0.24
898,"Pandalus spp, Pandalopsis spp",Pacific shrimps,45,2.3,0.24
899,Pangasius pangasius,Pangas catfish,13,3.1,0.28
900,Pangasius spp.,Pangas catfishes nei,13,3.1,0.28
901,Pangasius sutchi,Sutchi catfish,13,3.1,0.28
902,Panopea abrupta,Pacific geoduck,56,2.1,0.13
903,Panulirus argus,Caribbean spiny lobster,43,3.2,0.41
904,Panulirus cygnus,Australian spiny lobster,43,2.6,0.33
905,Panulirus homarus,Scalloped spiny lobster,43,3.2,0.03
906,Panulirus longipes,Longlegged spiny lobster,43,2.6,0.33
907,Panulirus regius,Royal spiny lobster,43,2.6,0.33
908,Panulirus spp,Tropical spiny lobsters nei,43,2.8,0.65
909,Paphia spp,Short neck clams,56,2.1,0.13
910,Parabramis pekinensis,White amur bream,11,2.7,0.34
911,Paracentrotus lividus,Stony sea urchin,76,2.3,0.61
912,Paralabrax humeralis,Peruvian rock seabass,33,3.5,0.26
913,Paralichthys dentatus,Summer flounder,31,3.5,0.26
914,Paralichthys olivaceus,Bastard halibut,31,3.5,0.26
915,Paralichthys spp,Bastard halibuts,31,3.5,0.26
916,Paralithodes spp,King crabs,42,2.3,0.24
917,Paralomis aculeata,Red stone crab,42,2.3,0.24
918,Paralomis granulosa,Softshell red crab,42,2.3,0.24
919,Paralomis spinosissima,Antarctic king crab,42,2.3,0.24
920,Paralonchurus peruanus,Peruvian banded croaker,33,3.4,0.06
